,movie_id,title,tags
15,16.0,토르: 다크 월드,"Thor fights to restore order across the cosmos… but an ancient race led by the vengeful Malekith returns to plunge the universe back into darkness. Faced with an enemy that even Odin and Asgard cannot withstand, Thor must embark on his most perilous and personal journey yet, one that will reunite him with Jane Foster and force him to sacrifice everything to save us all. superhero based on comic hostile takeover norse mythology aftercreditsstinger duringcreditsstinger marvel cinematic universe (mcu) mythological place 모험 판타지 액션 Natalie Portman Idris Elba Jaimie Alexander Chris Hemsworth Tom Hiddleston Alan Taylor"
16,17.0,더 울버린,"Wolverine faces his ultimate nemesis - and tests of his physical, emotional, and mortal limits - in a life-changing voyage to modern-day Japan. japan samurai mutant world war i superhero based on comic superhuman duringcreditsstinger 모험 판타지 액션 SF Brian Tee James Mangold"
17,18.0,아이언맨 3,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution. california war on terror tennessee malibu superhero based on comic billionaire aftercreditsstinger marvel cinematic universe (mcu) america 모험 액션 SF Don Cheadle Ben Kingsley Gwyneth Paltrow Shane Black"
18,19.0,어메이징 스파이더맨,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance ? leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero. loss of loved one experiment vigilante based on comic super power spider bite masked vigilante reboot genetic engineering social outcast duringcreditsstinger virus 모험 판타지 액션 Marc Webb"
19,20.0,어벤져스,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins! new york city shield superhero based on comic alien invasion superhero team aftercreditsstinger duringcreditsstinger marvel cinematic universe (mcu) 모험 액션 SF Chris Evans Chris Hemsworth Joss Whedon"
20,21.0,고스트 라이더 3D : 복수의 화신,"When the devil resurfaces with aims to take over the world in human form, Johnny Blaze reluctantly comes out of hiding to transform into the flame-spewing supernatural hero Ghost Rider -- and rescue a 10-year-old boy from an unsavory end. monk eastern europe skeleton biker superhero based on comic motorcycle devil dark hero ghost rider 판타지 액션 스릴러 Nicolas Cage Ciaran Hinds Violante Placido Johnny Whitworth Brian Taylor Mark Neveldine"
21,22.0,캡틴 아메리카: 퍼스트 어벤져,"During World War II, Steve Rogers is a sickly man from Brooklyn who's transformed into super-soldier Captain America to aid in the war effort. Rogers must stop the Red Skull ? Adolf Hitler's ruthless head of weaponry, and the leader of an organization that intends to use a mysterious device of untold powers for world domination. new york city world war ii nazi superhero based on comic heroism period drama brooklyn, new york city aftercreditsstinger marvel cinematic universe (mcu) 모험 액션 SF Hugo Weaving Tommy Lee Jones Samuel L. Jackson Chris Evans Dominic Cooper Joe Johnston"
22,23.0,엑스맨: 퍼스트 클래스,"Before Charles Xavier and Erik Lensherr took the names Professor X and Magneto, they were two young men discovering their powers for the first time. Before they were arch-enemies, they were closest of friends, working together with other mutants (some familiar, some new), to stop the greatest threat the world has ever known. cia nuclear war mutant mine superhero based on comic thriller superhuman historical fiction cuban missile crisis world war iii 1960s 모험 액션 SF Matthew Vaughn"
23,24.0,토르: 천둥의 신,"Against his father Odin's will, The Mighty Thor - a powerful but arrogant warrior god - recklessly reignites an ancient war. Thor is cast down to Earth and forced to live among humans as punishment. Once here, Thor learns what it takes to be a true hero when the most dangerous villain of his world sends the darkest forces of Asgard to invade Earth. new mexico banishment superhero based on comic redemption norse mythology aftercreditsstinger marvel cinematic universe (mcu) 모험 판타지 액션 Natalie Portman Anthony Hopkins Jaimie Alexander Chris Hemsworth Tom Hiddleston Kenneth Branagh"
24,25.0,아이언맨 2,"With the world now aware of his dual life as the armored superhero Iron Man, billionaire inventor Tony Stark faces pressure from the government, the press and the public to share his technology with the military. Unwilling to let go of his invention, Stark, with Pepper Potts and James 'Rhodey' Rhodes at his side, must forge new alliances ? and confront powerful enemies. technology malibu superhero based on comic revenge aftercreditsstinger marvel cinematic universe (mcu) 모험 액션 SF Scarlett Johansson Samuel L. Jackson Mickey Rourke Sam Rockwell Jon Favreau"
25,26.0,엑스맨 탄생: 울버린,"After seeking to live a normal life, Logan sets out to avenge the death of his girlfriend by undergoing the mutant Weapon X program and becoming Wolverine. corruption mutant boxer army prequel superhero based on comic spin off aftercreditsstinger duringcreditsstinger 모험 액션 스릴러 SF Danny Huston Hugh Jackman Liev Schreiber Will.i.am Gavin Hood"
26,27.0,인크레더블 헐크,"Scientist Bruce Banner scours the planet for an antidote to the unbridled force of rage within him: the Hulk. But when the military masterminds who dream of exploiting his powers force him back to civilization, he finds himself coming face to face with a new, deadly foe. new york city rio de janeiro superhero based on comic on the run fugitive super soldier scientist virginia military super villain marvel cinematic universe (mcu) angry bruce banner radical transformation marvel comics good versus evil 모험 액션 SF Edward Norton Louis Leterrier"
27,28.0,아이언맨,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil. middle east arms dealer malibu superhero based on comic aftercreditsstinger marvel cinematic universe (mcu) counter-terrorism 모험 액션 SF Shaun Toub Jon Favreau"
28,29.0,스파이더맨 3,"The seemingly invincible Spider-Man goes up against an all-new crop of villains?including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle. loss of loved one dual identity amnesia sandstorm love of one's life forgiveness spider wretch egomania sand narcism hostility sequel superhero based on comic revenge symbiote 모험 판타지 액션 Kirsten Dunst James Cromwell Bryce Dallas Howard Sam Raimi"
29,30.0,엑스맨: 최후의 전쟁,"When a cure is found to treat mutations, lines are drawn amongst the X-Men?led by Professor Charles Xavier?and the Brotherhood, a band of powerful mutants organised under Xavier's former ally, Magneto. mutant based on comic superhuman beast cyclops aftercreditsstinger 모험 액션 스릴러 SF Ian McKellen Patrick Stewart Halle Berry Hugh Jackman Anna Paquin Famke Janssen Brett Ratner"
